,County,Date,Index
452,Placer,1/21/2020,100.19
453,Riverside,1/21/2020,105.64
454,Sacramento,1/21/2020,110.24
455,San Benito,1/21/2020,100.28
456,San Bernardino,1/21/2020,103.32
457,San Diego,1/21/2020,111.82
458,San Francisco,1/21/2020,96.43
459,San Joaquin,1/21/2020,100.17
460,San Luis Obispo,1/21/2020,107.82
461,San Mateo,1/21/2020,105.3
462,Santa Barbara,1/21/2020,108.23
463,Santa Clara,1/21/2020,104.74
464,Santa Cruz,1/21/2020,97.25
465,Shasta,1/21/2020,94.73
466,Siskiyou,1/21/2020,96.87
467,Solano,1/21/2020,99.42
468,Sonoma,1/21/2020,99.22
469,Stanislaus,1/21/2020,99.31
470,Sutter,1/21/2020,102.79
471,Tehama,1/21/2020,111.21
472,Tulare,1/21/2020,101.92
473,Tuolumne,1/21/2020,103.56
474,Ventura,1/21/2020,108.63
475,Yolo,1/21/2020,103.13
476,Yuba,1/21/2020,103.01
477,Alameda,1/22/2020,110.27
478,Amador,1/22/2020,110.16
479,Butte,1/22/2020,117.24
480,Calaveras,1/22/2020,94.67
481,Colusa,1/22/2020,96.21
482,Contra Costa,1/22/2020,108.26
483,Del Norte,1/22/2020,94.92
484,El Dorado,1/22/2020,92.68
485,Fresno,1/22/2020,101.92
486,Glenn,1/22/2020,92.32
487,Humboldt,1/22/2020,98.41
488,Imperial,1/22/2020,105.78
489,Inyo,1/22/2020,83.77
490,Kern,1/22/2020,112.54
491,Kings,1/22/2020,95.27
492,Lake,1/22/2020,111.9
493,Lassen,1/22/2020,111.05
494,Los Angeles,1/22/2020,112.44
495,Madera,1/22/2020,105.75
496,Marin,1/22/2020,110.57
497,Mariposa,1/22/2020,95.54
498,Mendocino,1/22/2020,101.94
499,Merced,1/22/2020,101.91
500,Mono,1/22/2020,85.25
501,Monterey,1/22/2020,107.95
502,Napa,1/22/2020,108.48
503,Nevada,1/22/2020,84.91
504,Orange,1/22/2020,111.23
505,Placer,1/22/2020,102.43
506,Riverside,1/22/2020,107.17
507,Sacramento,1/22/2020,111.67
508,San Benito,1/22/2020,105.38
509,San Bernardino,1/22/2020,103.54
510,San Diego,1/22/2020,111.93
511,San Francisco,1/22/2020,99.04
512,San Joaquin,1/22/2020,106.02
513,San Luis Obispo,1/22/2020,104.91
514,San Mateo,1/22/2020,105.77
515,Santa Barbara,1/22/2020,110.64
516,Santa Clara,1/22/2020,108.17
517,Santa Cruz,1/22/2020,104.79
518,Shasta,1/22/2020,99.33
519,Siskiyou,1/22/2020,93.4
520,Solano,1/22/2020,102.06
521,Sonoma,1/22/2020,103.64
522,Stanislaus,1/22/2020,101.95
523,Sutter,1/22/2020,100.48
524,Tehama,1/22/2020,106.76
525,Tulare,1/22/2020,102.58
526,Tuolumne,1/22/2020,106.29
527,Ventura,1/22/2020,116.17
528,Yolo,1/22/2020,107.14
529,Yuba,1/22/2020,101.5
530,Alameda,1/23/2020,108.72
531,Amador,1/23/2020,111.7
532,Butte,1/23/2020,119.23
533,Calaveras,1/23/2020,103.38
534,Colusa,1/23/2020,99.84
535,Contra Costa,1/23/2020,104.63
536,Del Norte,1/23/2020,95.58
537,El Dorado,1/23/2020,98.01
538,Fresno,1/23/2020,105.84
539,Glenn,1/23/2020,110.2
540,Humboldt,1/23/2020,99.74
541,Imperial,1/23/2020,108.42
542,Inyo,1/23/2020,120.17
543,Kern,1/23/2020,117.7
544,Kings,1/23/2020,103.81
545,Lake,1/23/2020,109.01
546,Lassen,1/23/2020,100.71
547,Los Angeles,1/23/2020,119.67
548,Madera,1/23/2020,110.2
549,Marin,1/23/2020,110.56
550,Mariposa,1/23/2020,90.68
551,Mendocino,1/23/2020,98.14
552,Merced,1/23/2020,105.61
553,Mono,1/23/2020,115.75
554,Monterey,1/23/2020,109.6
555,Napa,1/23/2020,109.11
556,Nevada,1/23/2020,95.02
557,Orange,1/23/2020,118.36
558,Placer,1/23/2020,103.76
559,Riverside,1/23/2020,112.12
560,Sacramento,1/23/2020,111.81
561,San Benito,1/23/2020,100.69
562,San Bernardino,1/23/2020,111.34
563,San Diego,1/23/2020,119.51
564,San Francisco,1/23/2020,99.86
565,San Joaquin,1/23/2020,104.34
566,San Luis Obispo,1/23/2020,114.43
567,San Mateo,1/23/2020,106.25
568,Santa Barbara,1/23/2020,117.1
569,Santa Clara,1/23/2020,109.5
570,Santa Cruz,1/23/2020,98.32
571,Shasta,1/23/2020,106.58
572,Siskiyou,1/23/2020,110.2
573,Solano,1/23/2020,103.22
574,Sonoma,1/23/2020,104.36
575,Stanislaus,1/23/2020,103.53
576,Sutter,1/23/2020,104.79
577,Tehama,1/23/2020,117.69
578,Tulare,1/23/2020,105.46
579,Tuolumne,1/23/2020,104.98
580,Ventura,1/23/2020,117.4
581,Yolo,1/23/2020,108.15
582,Yuba,1/23/2020,109.5
583,Alameda,1/24/2020,125.38
584,Amador,1/24/2020,129.68
585,Butte,1/24/2020,137.18
586,Calaveras,1/24/2020,121.81
587,Colusa,1/24/2020,141.67
588,Contra Costa,1/24/2020,120.01
589,Del Norte,1/24/2020,96.83
590,El Dorado,1/24/2020,128.23
591,Fresno,1/24/2020,122.03
592,Glenn,1/24/2020,126.91
593,Humboldt,1/24/2020,111.36
594,Imperial,1/24/2020,142.22
595,Inyo,1/24/2020,191.25
596,Kern,1/24/2020,138.48
597,Kings,1/24/2020,126.4
598,Lake,1/24/2020,129.27
599,Lassen,1/24/2020,134.93
600,Los Angeles,1/24/2020,128.55
601,Madera,1/24/2020,127.2
602,Marin,1/24/2020,119.44
603,Mariposa,1/24/2020,97.05
604,Mendocino,1/24/2020,115.31
605,Merced,1/24/2020,135.95
606,Mono,1/24/2020,229.66
607,Monterey,1/24/2020,131.56
608,Napa,1/24/2020,125.62
609,Nevada,1/24/2020,126.33
610,Orange,1/24/2020,129.77
611,Placer,1/24/2020,124.44
612,Riverside,1/24/2020,132.4
613,Sacramento,1/24/2020,126.36
614,San Benito,1/24/2020,141.29
615,San Bernardino,1/24/2020,134.69
616,San Diego,1/24/2020,134.69
617,San Francisco,1/24/2020,113.01
