County,Date,Index
Mendocino,1/23/2020,98.14
Merced,1/23/2020,105.61
Mono,1/23/2020,115.75
Monterey,1/23/2020,109.6
Napa,1/23/2020,109.11
Nevada,1/23/2020,95.02
Orange,1/23/2020,118.36
Placer,1/23/2020,103.76
Riverside,1/23/2020,112.12
Sacramento,1/23/2020,111.81
San Benito,1/23/2020,100.69
San Bernardino,1/23/2020,111.34
San Diego,1/23/2020,119.51
San Francisco,1/23/2020,99.86
San Joaquin,1/23/2020,104.34
San Luis Obispo,1/23/2020,114.43
San Mateo,1/23/2020,106.25
Santa Barbara,1/23/2020,117.1
Santa Clara,1/23/2020,109.5
Santa Cruz,1/23/2020,98.32
Shasta,1/23/2020,106.58
Siskiyou,1/23/2020,110.2
Solano,1/23/2020,103.22
Sonoma,1/23/2020,104.36
Stanislaus,1/23/2020,103.53
Sutter,1/23/2020,104.79
Tehama,1/23/2020,117.69
Tulare,1/23/2020,105.46
Tuolumne,1/23/2020,104.98
Ventura,1/23/2020,117.4
Yolo,1/23/2020,108.15
Yuba,1/23/2020,109.5
Alameda,1/24/2020,125.38
Amador,1/24/2020,129.68
Butte,1/24/2020,137.18
Calaveras,1/24/2020,121.81
Colusa,1/24/2020,141.67
Contra Costa,1/24/2020,120.01
Del Norte,1/24/2020,96.83
El Dorado,1/24/2020,128.23
Fresno,1/24/2020,122.03
Glenn,1/24/2020,126.91
Humboldt,1/24/2020,111.36
Imperial,1/24/2020,142.22
Inyo,1/24/2020,191.25
Kern,1/24/2020,138.48
Kings,1/24/2020,126.4
Lake,1/24/2020,129.27
Lassen,1/24/2020,134.93
Los Angeles,1/24/2020,128.55
Madera,1/24/2020,127.2
Marin,1/24/2020,119.44
Mariposa,1/24/2020,97.05
Mendocino,1/24/2020,115.31
Merced,1/24/2020,135.95
Mono,1/24/2020,229.66
Monterey,1/24/2020,131.56
Napa,1/24/2020,125.62
Nevada,1/24/2020,126.33
Orange,1/24/2020,129.77
Placer,1/24/2020,124.44
Riverside,1/24/2020,132.4
Sacramento,1/24/2020,126.36
San Benito,1/24/2020,141.29
San Bernardino,1/24/2020,134.69
San Diego,1/24/2020,134.69
San Francisco,1/24/2020,113.01
San Joaquin,1/24/2020,125.58
San Luis Obispo,1/24/2020,147.1
San Mateo,1/24/2020,115.78
Santa Barbara,1/24/2020,135.53
Santa Clara,1/24/2020,121.38
Santa Cruz,1/24/2020,122.1
Shasta,1/24/2020,115.74
Siskiyou,1/24/2020,122.15
Solano,1/24/2020,132.18
Sonoma,1/24/2020,117.04
Stanislaus,1/24/2020,118.93
Sutter,1/24/2020,117.16
Tehama,1/24/2020,134.97
Tulare,1/24/2020,120.28
Tuolumne,1/24/2020,129.5
Ventura,1/24/2020,129.17
Yolo,1/24/2020,139.92
Yuba,1/24/2020,122.58
Alameda,1/25/2020,111.34
Amador,1/25/2020,169.84
Butte,1/25/2020,124.7
Calaveras,1/25/2020,127.98
Colusa,1/25/2020,127.56
Contra Costa,1/25/2020,110.47
Del Norte,1/25/2020,101.1
El Dorado,1/25/2020,150.33
Fresno,1/25/2020,114.22
Glenn,1/25/2020,119.88
Humboldt,1/25/2020,107.31
Imperial,1/25/2020,137.45
Inyo,1/25/2020,127.11
Kern,1/25/2020,125.54
Kings,1/25/2020,117.17
Lake,1/25/2020,112.42
Lassen,1/25/2020,111.12
Los Angeles,1/25/2020,126.5
Madera,1/25/2020,119.95
Marin,1/25/2020,116.73
Mariposa,1/25/2020,140.91
Mendocino,1/25/2020,109.32
Merced,1/25/2020,123.86
Mono,1/25/2020,264.73
Monterey,1/25/2020,131.72
Napa,1/25/2020,126.22
Nevada,1/25/2020,135.04
Orange,1/25/2020,127.4
Placer,1/25/2020,129.15
Riverside,1/25/2020,129.36
Sacramento,1/25/2020,113.09
San Benito,1/25/2020,124.9
San Bernardino,1/25/2020,122.87
San Diego,1/25/2020,122.68
San Francisco,1/25/2020,128.87
San Joaquin,1/25/2020,113.67
San Luis Obispo,1/25/2020,159.52
San Mateo,1/25/2020,99.8
Santa Barbara,1/25/2020,139.55
Santa Clara,1/25/2020,103.34
Santa Cruz,1/25/2020,116.25
Shasta,1/25/2020,102.94
Siskiyou,1/25/2020,118.29
Solano,1/25/2020,124.63
Sonoma,1/25/2020,108.44
Stanislaus,1/25/2020,114.76
Sutter,1/25/2020,113.01
Tehama,1/25/2020,121.07
Tulare,1/25/2020,117.56
Tuolumne,1/25/2020,157.22
Ventura,1/25/2020,131.81
Yolo,1/25/2020,116.62
Yuba,1/25/2020,120.03
Alameda,1/26/2020,84.48
Amador,1/26/2020,136.38
Butte,1/26/2020,94.52
Calaveras,1/26/2020,105.04
Colusa,1/26/2020,118.15
Contra Costa,1/26/2020,82.74
Del Norte,1/26/2020,97.42
El Dorado,1/26/2020,181.33
Fresno,1/26/2020,83.88
