county,state,population,drate,crate,date,fips,cases,deaths,state_death,state_case,case_day,death_day
Amador,California,39752,0,30.18716039,6/10/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/11/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/12/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/13/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/14/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/15/2020,6005,10,0,50,53,1,0
Amador,California,39752,0,30.18716039,6/16/2020,6005,11,0,50,53,1,0
Amador,California,39752,0,30.18716039,6/17/2020,6005,11,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/18/2020,6005,11,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/19/2020,6005,11,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/20/2020,6005,12,0,50,53,1,0
Colusa,California,21547,0,32.48712118,3/27/2020,6011,1,0,51,52,1,0
Colusa,California,21547,0,32.48712118,3/28/2020,6011,1,0,51,52,0,0
Colusa,California,21547,0,32.48712118,3/29/2020,6011,1,0,51,52,0,0
Colusa,California,21547,0,32.48712118,3/30/2020,6011,1,0,51,52,0,0
Colusa,California,21547,0,32.48712118,3/31/2020,6011,1,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/1/2020,6011,1,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/2/2020,6011,1,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/3/2020,6011,2,0,51,52,1,0
Colusa,California,21547,0,32.48712118,4/4/2020,6011,2,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/5/2020,6011,2,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/6/2020,6011,3,0,51,52,1,0
Colusa,California,21547,0,32.48712118,4/7/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/8/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/9/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/10/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/11/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/12/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/13/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/14/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/15/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/16/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/17/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/18/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/19/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/20/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/21/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/22/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/23/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/24/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/25/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/26/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/27/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/28/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/29/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,4/30/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/1/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/2/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/3/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/4/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/5/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/6/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/7/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/8/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/9/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/10/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/11/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/12/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/13/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/14/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/15/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/16/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/17/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/18/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/19/2020,6011,3,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/20/2020,6011,4,0,51,52,1,0
Colusa,California,21547,0,32.48712118,5/21/2020,6011,4,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/22/2020,6011,5,0,51,52,1,0
Colusa,California,21547,0,32.48712118,5/23/2020,6011,5,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/24/2020,6011,5,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/25/2020,6011,5,0,51,52,0,0
