date,admin_level,admin1,admin2,fips,samples,m50,m50_index
5/22/2020,2,California,Amador,6005,712,8.616,64
5/23/2020,2,California,Amador,6005,751,4.631,34
5/24/2020,2,California,Amador,6005,764,2.88,21
5/25/2020,2,California,Amador,6005,717,4.712,35
5/26/2020,2,California,Amador,6005,701,8.665,64
5/27/2020,2,California,Amador,6005,682,7.63,56
5/28/2020,2,California,Amador,6005,635,7.396,55
5/30/2020,2,California,Amador,6005,581,1.561,11
5/31/2020,2,California,Amador,6005,557,5.195,38
6/1/2020,2,California,Amador,6005,734,9.104,67
6/2/2020,2,California,Amador,6005,523,5.801,43
6/3/2020,2,California,Amador,6005,777,5.476,40
6/4/2020,2,California,Amador,6005,654,7.238,54
6/5/2020,2,California,Amador,6005,622,11.233,83
6/6/2020,2,California,Amador,6005,701,7.957,59
6/7/2020,2,California,Amador,6005,653,8.447,63
6/8/2020,2,California,Amador,6005,713,9.159,68
6/9/2020,2,California,Amador,6005,599,9.869,73
6/10/2020,2,California,Amador,6005,684,8.342,62
6/11/2020,2,California,Amador,6005,713,7.455,55
6/12/2020,2,California,Amador,6005,604,8.51,63
6/13/2020,2,California,Amador,6005,672,5.679,42
6/14/2020,2,California,Amador,6005,610,7.905,59
6/15/2020,2,California,Amador,6005,587,6.469,48
6/16/2020,2,California,Amador,6005,558,6.155,45
6/17/2020,2,California,Amador,6005,671,5.665,42
6/18/2020,2,California,Amador,6005,599,8.114,60
6/19/2020,2,California,Amador,6005,807,10.166,75
6/20/2020,2,California,Amador,6005,579,6.189,46
6/21/2020,2,California,Amador,6005,601,10.729,80
6/22/2020,2,California,Amador,6005,540,4.639,34
6/23/2020,2,California,Amador,6005,593,9.205,68
3/1/2020,2,California,Butte,6007,2398,2.66,57
3/2/2020,2,California,Butte,6007,2498,4.618,100
3/3/2020,2,California,Butte,6007,2571,4.326,93
3/4/2020,2,California,Butte,6007,2634,4.687,101
3/5/2020,2,California,Butte,6007,2509,4.561,98
3/6/2020,2,California,Butte,6007,2413,4.89,105
3/7/2020,2,California,Butte,6007,2423,3.827,82
3/8/2020,2,California,Butte,6007,2360,2.91,63
3/9/2020,2,California,Butte,6007,2541,4.201,90
3/10/2020,2,California,Butte,6007,2411,4.656,100
3/11/2020,2,California,Butte,6007,2521,4.544,98
3/12/2020,2,California,Butte,6007,2520,4.791,103
3/13/2020,2,California,Butte,6007,2403,5.297,114
3/14/2020,2,California,Butte,6007,2246,3.646,78
3/15/2020,2,California,Butte,6007,2142,2.291,49
3/16/2020,2,California,Butte,6007,1993,4.439,96
3/17/2020,2,California,Butte,6007,2026,3.422,74
3/18/2020,2,California,Butte,6007,1941,3.723,80
3/19/2020,2,California,Butte,6007,1927,2.973,64
3/20/2020,2,California,Butte,6007,1804,2.982,64
3/21/2020,2,California,Butte,6007,1559,1.341,29
3/22/2020,2,California,Butte,6007,1836,0.774,16
3/23/2020,2,California,Butte,6007,1949,2.114,45
3/24/2020,2,California,Butte,6007,2042,1.534,33
3/25/2020,2,California,Butte,6007,1928,2.436,52
3/26/2020,2,California,Butte,6007,1988,1.934,41
3/27/2020,2,California,Butte,6007,1869,2.767,59
3/28/2020,2,California,Butte,6007,1982,0.727,15
3/29/2020,2,California,Butte,6007,2044,0.046,0
3/30/2020,2,California,Butte,6007,2087,1.367,29
3/31/2020,2,California,Butte,6007,2064,1.865,40
4/1/2020,2,California,Butte,6007,2010,2.33,50
4/2/2020,2,California,Butte,6007,2035,2.184,47
4/3/2020,2,California,Butte,6007,2013,2.434,52
4/4/2020,2,California,Butte,6007,1973,0.252,5
4/5/2020,2,California,Butte,6007,2016,0.036,0
4/6/2020,2,California,Butte,6007,1914,1.709,37
4/7/2020,2,California,Butte,6007,2028,1.913,41
4/8/2020,2,California,Butte,6007,1998,2.026,43
4/9/2020,2,California,Butte,6007,1990,1.782,38
4/10/2020,2,California,Butte,6007,1886,2.736,59
4/11/2020,2,California,Butte,6007,1901,1.476,31
4/12/2020,2,California,Butte,6007,1874,0.175,3
4/13/2020,2,California,Butte,6007,1917,1.932,41
4/14/2020,2,California,Butte,6007,1972,2.077,44
4/15/2020,2,California,Butte,6007,2114,2.344,50
4/16/2020,2,California,Butte,6007,2067,2.481,53
4/17/2020,2,California,Butte,6007,1999,2.68,58
4/18/2020,2,California,Butte,6007,1957,1.919,41
4/19/2020,2,California,Butte,6007,1844,0.696,15
4/21/2020,2,California,Butte,6007,2497,2.045,44
4/22/2020,2,California,Butte,6007,2579,2.121,45
4/23/2020,2,California,Butte,6007,2572,1.946,42
4/24/2020,2,California,Butte,6007,2447,2.184,47
4/25/2020,2,California,Butte,6007,2294,0.856,18
4/26/2020,2,California,Butte,6007,2251,0.185,4
4/27/2020,2,California,Butte,6007,2397,1.769,38
4/28/2020,2,California,Butte,6007,2438,1.853,40
4/29/2020,2,California,Butte,6007,2319,2.172,47
4/30/2020,2,California,Butte,6007,3066,2.827,61
5/1/2020,2,California,Butte,6007,2871,3.64,78
5/2/2020,2,California,Butte,6007,3075,2.024,43
5/3/2020,2,California,Butte,6007,2879,1.533,33
5/4/2020,2,California,Butte,6007,2101,2.526,54
5/5/2020,2,California,Butte,6007,2101,2.428,52
5/6/2020,2,California,Butte,6007,1970,2.696,58
5/7/2020,2,California,Butte,6007,2101,2.283,49
5/8/2020,2,California,Butte,6007,2028,2.498,54
5/9/2020,2,California,Butte,6007,2054,1.828,39
5/10/2020,2,California,Butte,6007,1982,1.315,28
