county,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Santa Clara,5/13/2020,-59,-18,2,-67,-66,30
Santa Clara,5/14/2020,-59,-17,14,-68,-67,30
Santa Clara,5/15/2020,-59,-16,7,-67,-65,30
Santa Clara,5/16/2020,-61,-19,14,-55,-33,15
Santa Clara,5/17/2020,-62,-27,-14,-63,-33,14
Santa Clara,5/18/2020,-57,-20,6,-69,-66,29
Santa Clara,5/19/2020,-56,-16,18,-68,-66,29
Santa Clara,5/20/2020,-56,-15,19,-66,-65,29
Santa Clara,5/21/2020,-55,-12,28,-66,-66,29
Santa Clara,5/22/2020,-54,-9,27,-64,-63,28
Santa Clara,5/23/2020,-59,-16,16,-54,-27,13
Santa Clara,5/24/2020,-58,-21,25,-57,-28,10
Santa Clara,5/25/2020,-56,-12,50,-71,-83,30
Santa Clara,5/26/2020,-53,-14,9,-67,-64,28
Santa Clara,5/27/2020,-55,-15,6,-66,-63,28
Santa Clara,5/28/2020,-55,-13,20,-66,-63,28
Santa Clara,5/29/2020,-56,-15,7,-64,-61,29
Santa Cruz,2/15/2020,12,9,34,14,-4,-1
Santa Cruz,2/16/2020,25,7,54,15,0,-2
Santa Cruz,2/17/2020,29,7,101,-11,-40,8
Santa Cruz,2/18/2020,6,3,24,-5,0,0
Santa Cruz,2/19/2020,5,3,21,9,1,0
Santa Cruz,2/20/2020,8,5,28,2,0,0
Santa Cruz,2/21/2020,5,6,10,1,0,0
Santa Cruz,2/22/2020,12,8,15,11,2,0
Santa Cruz,2/23/2020,15,9,27,8,3,-1
Santa Cruz,2/24/2020,2,4,11,4,7,0
Santa Cruz,2/25/2020,4,6,21,-2,2,0
Santa Cruz,2/26/2020,4,5,24,0,3,0
Santa Cruz,2/27/2020,5,5,31,1,1,0
Santa Cruz,2/28/2020,4,5,10,8,3,-1
Santa Cruz,2/29/2020,11,9,25,13,3,-1
Santa Cruz,3/1/2020,9,3,3,11,1,-1
Santa Cruz,3/2/2020,5,8,14,3,8,0
Santa Cruz,3/3/2020,10,12,31,1,2,-1
Santa Cruz,3/4/2020,4,10,18,2,3,0
Santa Cruz,3/5/2020,7,12,20,-5,-2,1
Santa Cruz,3/6/2020,2,7,-6,-5,0,1
Santa Cruz,3/7/2020,-1,8,-17,4,-1,2
Santa Cruz,3/8/2020,6,11,6,11,3,0
Santa Cruz,3/9/2020,4,9,13,-2,4,1
Santa Cruz,3/10/2020,2,12,10,-14,-3,3
Santa Cruz,3/11/2020,2,13,28,-12,-5,3
Santa Cruz,3/12/2020,4,24,34,-11,-8,4
Santa Cruz,3/13/2020,-4,26,-11,-19,-9,5
Santa Cruz,3/14/2020,-22,14,-35,-32,-7,8
Santa Cruz,3/15/2020,-26,7,-30,-28,-10,8
Santa Cruz,3/16/2020,-8,33,0,-30,-26,11
Santa Cruz,3/17/2020,-35,8,1,-51,-46,19
Santa Cruz,3/18/2020,-41,-7,-1,-47,-48,21
Santa Cruz,3/19/2020,-39,-8,19,-48,-49,20
Santa Cruz,3/20/2020,-44,-9,-3,-55,-48,21
Santa Cruz,3/21/2020,-55,-19,-20,-55,-35,15
Santa Cruz,3/22/2020,-55,-23,-25,-57,-38,15
Santa Cruz,3/23/2020,-44,-17,-11,-57,-50,21
Santa Cruz,3/24/2020,-48,-21,-36,-64,-56,25
Santa Cruz,3/25/2020,-46,-21,-10,-61,-53,24
Santa Cruz,3/26/2020,-46,-20,-11,-61,-54,24
Santa Cruz,3/27/2020,-47,-20,-20,-59,-52,23
Santa Cruz,3/28/2020,-58,-25,-46,-60,-40,17
Santa Cruz,3/29/2020,-55,-27,-40,-57,-41,15
Santa Cruz,3/30/2020,-44,-21,-6,-55,-51,21
Santa Cruz,3/31/2020,-43,-16,8,-60,-55,22
Santa Cruz,4/1/2020,-43,-16,-3,-57,-53,23
Santa Cruz,4/2/2020,-44,-16,4,-57,-55,23
Santa Cruz,4/3/2020,-45,-16,-18,-58,-52,23
Santa Cruz,4/4/2020,-60,-26,-58,-64,-40,18
Santa Cruz,4/5/2020,-65,-37,-75,-68,-45,18
Santa Cruz,4/6/2020,-48,-22,-39,-64,-56,24
Santa Cruz,4/7/2020,-46,-19,-4,-60,-56,23
Santa Cruz,4/8/2020,-51,-25,-28,-64,-56,24
Santa Cruz,4/9/2020,-51,-23,-49,-61,-57,25
Santa Cruz,4/10/2020,-50,-20,-54,-59,-55,24
Santa Cruz,4/11/2020,-56,-16,-63,-56,-40,17
Santa Cruz,4/12/2020,-68,-33,-70,-60,-45,16
Santa Cruz,4/13/2020,-49,-25,-50,-60,-52,22
Santa Cruz,4/14/2020,-48,-22,-42,-61,-54,23
Santa Cruz,4/15/2020,-52,-21,-42,-59,-53,23
Santa Cruz,4/16/2020,-59,-21,-20,-60,-54,23
Santa Cruz,4/17/2020,-59,-22,-34,-61,-51,23
Santa Cruz,4/18/2020,-62,-22,-28,-55,-35,16
Santa Cruz,4/19/2020,-60,-19,-17,-48,-36,14
Santa Cruz,4/20/2020,-55,-22,-26,-59,-51,22
Santa Cruz,4/21/2020,-54,-19,-2,-59,-53,22
Santa Cruz,4/22/2020,-55,-19,3,-58,-52,22
Santa Cruz,4/23/2020,-54,-18,6,-59,-53,22
Santa Cruz,4/24/2020,-55,-17,2,-58,-50,22
Santa Cruz,4/25/2020,-57,-17,-10,-51,-33,15
Santa Cruz,4/26/2020,-56,-19,-6,-50,-35,13
Santa Cruz,4/27/2020,-53,-19,0,-56,-48,20
Santa Cruz,4/28/2020,-52,-18,11,-60,-52,12
Santa Cruz,4/29/2020,-55,-22,-12,-58,-52,21
Santa Cruz,4/30/2020,-52,-19,13,-58,-52,21
Santa Cruz,5/1/2020,-53,-17,-10,-61,-48,21
Santa Cruz,5/2/2020,-57,-17,-22,-54,-31,13
Santa Cruz,5/3/2020,-55,-16,-11,-53,-29,12
Santa Cruz,5/4/2020,-50,-16,-4,-60,-46,19
Santa Cruz,5/5/2020,-49,-11,6,-60,-49,20
Santa Cruz,5/6/2020,-51,-16,-1,-58,-49,20
Santa Cruz,5/7/2020,-50,-13,8,-57,-49,19
Santa Cruz,5/8/2020,-51,-10,-10,-61,-46,19
Santa Cruz,5/9/2020,-51,1,-17,-49,-28,12
Santa Cruz,5/10/2020,-51,-4,-17,-46,-28,10
Santa Cruz,5/11/2020,-52,-19,-27,-61,-44,18
Santa Cruz,5/12/2020,-51,-14,-13,-62,-48,20
Santa Cruz,5/13/2020,-52,-16,-19,-60,-47,20
Santa Cruz,5/14/2020,-51,-15,-2,-60,-48,19
Santa Cruz,5/15/2020,-49,-14,-9,-63,-44,18
Santa Cruz,5/16/2020,-49,-10,-5,-49,-28,11
Santa Cruz,5/17/2020,-55,-20,-46,-60,-30,13
Santa Cruz,5/18/2020,-46,-13,-9,-62,-43,18
Santa Cruz,5/19/2020,-48,-15,0,-63,-46,18
Santa Cruz,5/20/2020,-48,-15,1,-63,-46,18
Santa Cruz,5/21/2020,-45,-10,22,-60,-46,18
Santa Cruz,5/22/2020,-44,-8,12,-59,-43,17
Santa Cruz,5/23/2020,-43,-2,16,-49,-23,10
Santa Cruz,5/24/2020,-38,-2,39,-48,-24,9
Santa Cruz,5/25/2020,-39,-7,100,-63,-68,21
Santa Cruz,5/26/2020,-42,-8,31,-63,-43,17
Santa Cruz,5/27/2020,-42,-8,26,-61,-42,17
Santa Cruz,5/28/2020,-43,-9,19,-62,-42,18
Santa Cruz,5/29/2020,-47,-14,-13,-63,-39,18
Shasta,2/15/2020,4,6,47,0,1,-1
Shasta,2/16/2020,11,2,58,3,1,-1
Shasta,2/17/2020,6,-1,81,-1,-33,5
Shasta,2/18/2020,3,5,65,1,-9,2
Shasta,2/19/2020,3,3,61,-2,-9,1
Shasta,2/20/2020,2,4,40,2,-9,1
Shasta,2/21/2020,1,0,53,-4,-9,2
Shasta,2/22/2020,3,6,57,3,2,-2
Shasta,2/23/2020,9,1,25,3,3,-1
Shasta,2/24/2020,4,3,29,-1,2,-1
Shasta,2/25/2020,6,7,57,3,3,-1
Shasta,2/26/2020,14,10,53,0,3,-1
Shasta,2/27/2020,9,7,36,3,3,-1
Shasta,2/28/2020,10,7,39,7,2,-1
Shasta,2/29/2020,11,8,31,4,4,-2
Shasta,3/1/2020,23,10,14,14,5,-2
Shasta,3/2/2020,13,10,36,10,3,-2
Shasta,3/3/2020,16,19,68,8,3,-2
Shasta,3/4/2020,10,13,59,4,4,-2
Shasta,3/5/2020,9,12,33,5,3,-1
Shasta,3/6/2020,5,4,40,2,2,0
Shasta,3/7/2020,6,3,-8,-2,2,1
Shasta,3/8/2020,11,4,5,9,1,0
Shasta,3/9/2020,8,7,33,5,2,-1
Shasta,3/10/2020,7,13,79,11,4,-1
Shasta,3/11/2020,6,12,64,6,2,-1
Shasta,3/12/2020,5,21,45,2,0,-1
Shasta,3/13/2020,2,18,43,5,0,0
Shasta,3/14/2020,-4,14,-17,-5,0,2
Shasta,3/15/2020,0,11,-23,11,-7,3
Shasta,3/16/2020,0,32,3,-4,-10,4
Shasta,3/17/2020,-15,17,-26,-10,-17,8
Shasta,3/18/2020,-15,14,-1,-3,-22,8
Shasta,3/19/2020,-14,22,39,-7,-21,8
Shasta,3/20/2020,-29,5,26,-18,-27,11
Shasta,3/21/2020,-37,-2,32,-13,-19,8
Shasta,3/22/2020,-32,-6,42,-10,-25,6
Shasta,3/23/2020,-32,-9,-8,-22,-33,11
Shasta,3/24/2020,-36,-8,-15,-20,-35,14
Shasta,3/25/2020,-33,-7,10,-18,-36,13
Shasta,3/26/2020,-33,-5,24,-15,-36,13
Shasta,3/27/2020,-37,-12,13,-22,-35,14
Shasta,3/28/2020,-43,-13,-31,-29,-28,11
Shasta,3/29/2020,-39,-15,-21,-22,-31,9
Shasta,3/30/2020,-34,-11,-22,-29,-37,13
Shasta,3/31/2020,-31,-3,28,-22,-38,13
Shasta,4/1/2020,-27,2,39,-21,-37,11
Shasta,4/2/2020,-30,0,29,-26,-37,13
Shasta,4/3/2020,-32,-1,33,-31,-37,13
Shasta,4/4/2020,-47,-13,-54,-38,-32,12
Shasta,4/5/2020,-42,-11,-41,-34,-35,10
Shasta,4/6/2020,-34,-5,5,-29,-38,13
Shasta,4/7/2020,-34,-3,49,-25,-39,13
Shasta,4/8/2020,-33,-3,61,-21,-40,12
Shasta,4/9/2020,-36,-6,20,-26,-40,14
Shasta,4/10/2020,-34,-5,46,-31,-39,14
Shasta,4/11/2020,-36,3,33,-24,-29,9
Shasta,4/12/2020,-49,-20,14,-30,-33,7
Shasta,4/13/2020,-28,-11,38,-34,-37,12
Shasta,4/14/2020,-26,-3,65,-25,-37,12
Shasta,4/15/2020,-27,0,52,-32,-37,11
Shasta,4/16/2020,-38,-1,38,-31,-36,13
Shasta,4/17/2020,-41,-7,42,-34,-35,13
Shasta,4/18/2020,-42,-6,19,-30,-26,8
Shasta,4/19/2020,-37,-4,30,-30,-27,7
Shasta,4/20/2020,-35,-4,36,-34,-36,11
Shasta,4/21/2020,-36,2,80,-25,-35,11
Shasta,4/22/2020,-36,2,69,-24,-36,11
Shasta,4/23/2020,-38,0,55,-24,-36,11
Shasta,4/24/2020,-40,-4,67,-27,-35,12
Shasta,4/25/2020,-40,-1,61,-28,-24,7
Shasta,4/26/2020,-33,2,70,-19,-26,5
Shasta,4/27/2020,-32,0,50,-17,-33,10
Shasta,4/28/2020,-33,7,90,-12,-33,3
Shasta,4/29/2020,-31,7,71,-18,-34,10
Shasta,4/30/2020,-31,8,55,-13,-34,11
Shasta,5/1/2020,-31,6,71,-15,-32,10
Shasta,5/2/2020,-34,5,26,-17,-25,7
Shasta,5/3/2020,-26,12,77,-7,-24,4
Shasta,5/4/2020,-27,8,65,-11,-33,8
Shasta,5/5/2020,-28,16,93,-8,-31,9
Shasta,5/6/2020,-29,10,84,-16,-32,9
Shasta,5/7/2020,-31,10,66,-15,-32,9
Shasta,5/8/2020,-34,6,85,-14,-30,10
Shasta,5/9/2020,-32,20,79,-11,-20,4
Shasta,5/10/2020,-24,27,77,1,-20,2
Shasta,5/11/2020,-31,4,12,-22,-31,9
Shasta,5/12/2020,-35,4,16,-15,-30,11
Shasta,5/13/2020,-30,8,15,-20,-31,11
Shasta,5/14/2020,-31,7,7,-21,-30,11
Shasta,5/15/2020,-30,1,82,-13,-28,9
Shasta,5/16/2020,-32,5,41,-10,-16,6
Shasta,5/17/2020,-26,3,-6,-7,-20,6
Shasta,5/18/2020,-31,-1,-13,-22,-29,11
Shasta,5/19/2020,-23,12,91,-12,-26,8
Shasta,5/20/2020,-22,14,87,-13,-26,7
Shasta,5/21/2020,-22,14,89,-7,-27,7
Shasta,5/22/2020,-24,9,135,1,-27,7
Shasta,5/23/2020,-26,15,157,0,-15,2
Shasta,5/24/2020,-18,16,172,6,-20,0
Shasta,5/25/2020,-27,4,184,-15,-64,12
Shasta,5/26/2020,-22,14,104,-8,-25,6
Shasta,5/27/2020,-22,13,93,-9,-25,7
Shasta,5/28/2020,-23,13,86,-13,-25,7
Shasta,5/29/2020,-25,4,97,-7,-23,7
Siskiyou,2/15/2020,13,7,33,7,-1,
Siskiyou,2/16/2020,17,12,80,5,-1,
Siskiyou,2/17/2020,8,-4,,16,-37,5
Siskiyou,2/18/2020,12,3,,3,2,-2
Siskiyou,2/19/2020,6,1,,13,-1,0
Siskiyou,2/20/2020,7,4,31,8,-2,0
Siskiyou,2/21/2020,10,-3,,5,3,-1
Siskiyou,2/22/2020,12,-1,44,7,1,
Siskiyou,2/23/2020,7,2,22,5,2,
Siskiyou,2/24/2020,12,7,26,1,5,-1
Siskiyou,2/25/2020,11,6,,8,4,-2
Siskiyou,2/26/2020,12,3,,28,3,-1
Siskiyou,2/27/2020,19,11,37,27,4,-1
Siskiyou,2/28/2020,16,7,36,27,1,-2
Siskiyou,2/29/2020,13,6,3,20,2,
Siskiyou,3/1/2020,15,3,20,18,2,
Siskiyou,3/2/2020,16,8,,23,2,-2
Siskiyou,3/3/2020,26,20,,10,3,-3
Siskiyou,3/4/2020,17,12,,16,2,-3
Siskiyou,3/5/2020,17,19,37,18,3,-1
Siskiyou,3/6/2020,13,3,40,18,1,-2
Siskiyou,3/7/2020,4,-5,-23,-3,0,
Siskiyou,3/8/2020,5,-3,-5,11,-1,
Siskiyou,3/9/2020,11,6,,16,2,-1
Siskiyou,3/10/2020,16,11,,13,2,-3
Siskiyou,3/11/2020,12,12,,12,2,-1
Siskiyou,3/12/2020,13,11,,12,1,-1
Siskiyou,3/13/2020,11,19,,11,-3,-1
Siskiyou,3/14/2020,2,13,-19,5,-1,
Siskiyou,3/15/2020,-9,-3,-30,-11,-18,
Siskiyou,3/16/2020,6,29,6,15,-7,1
Siskiyou,3/17/2020,-3,20,2,-5,-13,3
Siskiyou,3/18/2020,-11,19,20,23,-21,7
Siskiyou,3/19/2020,-6,23,,22,-22,6
Siskiyou,3/20/2020,-21,9,,14,-29,8
Siskiyou,3/21/2020,-27,0,32,3,-22,
Siskiyou,3/22/2020,-29,-8,55,6,-29,
Siskiyou,3/23/2020,-28,-5,,-3,-34,8
Siskiyou,3/24/2020,-32,-4,10,-3,-34,11
Siskiyou,3/25/2020,-37,-6,20,5,-37,12
Siskiyou,3/26/2020,-31,-2,,8,-37,11
Siskiyou,3/27/2020,-37,-13,28,-8,-38,13
Siskiyou,3/28/2020,-37,-11,-8,-6,-25,
Siskiyou,3/29/2020,-35,-20,-6,9,-25,
Siskiyou,3/30/2020,-33,-12,-2,-12,-40,10
Siskiyou,3/31/2020,-27,-9,,1,-42,10
Siskiyou,4/1/2020,-24,-2,,5,-39,10
Siskiyou,4/2/2020,-27,0,,6,-38,10
Siskiyou,4/3/2020,-26,-1,,-2,-37,10
Siskiyou,4/4/2020,-38,-15,-38,-14,-32,
Siskiyou,4/5/2020,-39,-17,-20,-25,-28,
Siskiyou,4/6/2020,-28,,26,-11,-37,9
Siskiyou,4/7/2020,-24,,,-7,-35,8
Siskiyou,4/8/2020,-28,,,5,-37,9
Siskiyou,4/9/2020,-24,,,1,-38,9
Siskiyou,4/10/2020,-29,2,,-4,-37,10
Siskiyou,4/11/2020,-24,,37,-7,-23,
Siskiyou,4/12/2020,-41,-10,53,-17,-27,
Siskiyou,4/13/2020,-23,-1,,-2,-35,7
Siskiyou,4/14/2020,-23,2,,0,-34,7
Siskiyou,4/15/2020,-21,3,,9,-35,9
Siskiyou,4/16/2020,-26,9,,13,-34,9
Siskiyou,4/17/2020,-29,5,,1,-34,9
Siskiyou,4/18/2020,-28,7,33,0,-20,
Siskiyou,4/19/2020,-27,,53,-5,-23,
Siskiyou,4/20/2020,-27,8,,0,-34,7
Siskiyou,4/21/2020,-25,5,,2,-34,7
Siskiyou,4/22/2020,-31,1,,10,-35,10
Siskiyou,4/23/2020,-29,8,,1,-35,9
Siskiyou,4/24/2020,-31,4,,3,-37,8
Siskiyou,4/25/2020,-29,5,56,0,-22,
Siskiyou,4/26/2020,-22,,91,9,-21,
Siskiyou,4/27/2020,-25,4,,11,-33,6
Siskiyou,4/28/2020,-16,15,,5,-33,-2
Siskiyou,4/29/2020,-25,7,,12,-33,6
Siskiyou,4/30/2020,-22,18,,13,-33,7
Siskiyou,5/1/2020,-18,15,,12,-31,6
Siskiyou,5/2/2020,-22,11,19,10,-23,
Siskiyou,5/3/2020,-15,13,66,15,-20,
Siskiyou,5/4/2020,-14,20,,14,-29,4
Siskiyou,5/5/2020,-12,25,,8,-30,5
Siskiyou,5/6/2020,-18,18,,17,-29,6
Siskiyou,5/7/2020,-19,24,,12,-30,6
Siskiyou,5/8/2020,-19,23,,22,-33,5
Siskiyou,5/9/2020,-8,,112,19,-19,
Siskiyou,5/10/2020,-14,,,18,-18,
Siskiyou,5/11/2020,-19,10,,23,-29,5
Siskiyou,5/12/2020,-19,9,,12,-28,6
Siskiyou,5/13/2020,-21,10,,15,-29,7
Siskiyou,5/14/2020,-19,13,,14,-29,7
Siskiyou,5/15/2020,-20,7,,23,-31,5
Siskiyou,5/16/2020,-19,8,31,18,-11,
Siskiyou,5/17/2020,-16,8,17,23,-16,
Siskiyou,5/18/2020,-15,7,27,24,-28,6
Siskiyou,5/19/2020,-13,14,,6,-25,5
Siskiyou,5/20/2020,-8,15,,16,-24,5
Siskiyou,5/21/2020,-8,22,,33,-29,5
Siskiyou,5/22/2020,-7,21,,44,-29,4
Siskiyou,5/23/2020,5,32,,31,-9,
Siskiyou,5/24/2020,12,39,,41,-12,
Siskiyou,5/25/2020,-1,16,,49,-60,
Siskiyou,5/26/2020,-2,26,,9,-22,3
Siskiyou,5/27/2020,-6,22,,34,-22,4
Siskiyou,5/28/2020,-2,26,,43,-25,4
Siskiyou,5/29/2020,-8,16,,30,-22,4
Solano,2/15/2020,4,-3,28,3,-2,-1
Solano,2/16/2020,10,-4,41,16,0,-2
Solano,2/17/2020,17,-1,24,-15,-46,10
Solano,2/18/2020,2,-1,22,5,-2,1
Solano,2/19/2020,2,-2,19,4,-1,0
Solano,2/20/2020,3,-1,17,7,-1,0
Solano,2/21/2020,2,-3,22,10,2,0
Solano,2/22/2020,3,1,38,11,3,-1
Solano,2/23/2020,9,3,46,11,1,-1
Solano,2/24/2020,4,-1,22,5,3,0
Solano,2/25/2020,3,2,24,8,4,-1
Solano,2/26/2020,5,3,18,6,2,-1
Solano,2/27/2020,6,3,21,9,2,-1
Solano,2/28/2020,4,4,19,8,4,0
Solano,2/29/2020,5,5,27,11,3,-1
Solano,3/1/2020,7,5,17,6,2,-1
Solano,3/2/2020,7,5,11,7,3,-1
Solano,3/3/2020,8,10,29,8,3,-1
Solano,3/4/2020,4,6,22,3,2,-1
Solano,3/5/2020,5,3,23,4,2,-1
Solano,3/6/2020,2,1,8,-1,3,0
Solano,3/7/2020,0,3,1,-5,1,1
Solano,3/8/2020,3,3,5,8,1,0
Solano,3/9/2020,4,5,26,8,2,0
Solano,3/10/2020,3,6,31,-1,2,0
Solano,3/11/2020,3,11,24,0,1,0
Solano,3/12/2020,5,22,22,-2,0,1
Solano,3/13/2020,0,30,-1,-12,0,2
Solano,3/14/2020,-14,18,-38,-23,-5,6
Solano,3/15/2020,-15,11,-27,-17,-8,5
Solano,3/16/2020,-2,37,-28,-22,-19,8
Solano,3/17/2020,-16,21,-12,-30,-29,13
Solano,3/18/2020,-21,17,-31,-36,-33,15
Solano,3/19/2020,-28,6,-5,-32,-37,17
Solano,3/20/2020,-36,-3,-6,-32,-39,19
Solano,3/21/2020,-43,-8,2,-30,-28,13
Solano,3/22/2020,-43,-16,13,-25,-31,11
Solano,3/23/2020,-35,-17,-25,-42,-42,18
Solano,3/24/2020,-37,-14,-42,-49,-44,21
Solano,3/25/2020,-36,-11,-30,-42,-45,20
Solano,3/26/2020,-34,-14,-14,-42,-44,20
Solano,3/27/2020,-38,-13,-15,-40,-42,21
Solano,3/28/2020,-47,-18,-41,-44,-31,16
Solano,3/29/2020,-45,-21,-18,-37,-34,13
Solano,3/30/2020,-33,-17,-13,-39,-43,18
Solano,3/31/2020,-31,-7,-9,-39,-45,19
Solano,4/1/2020,-31,-7,-10,-37,-45,19
Solano,4/2/2020,-32,-5,-8,-37,-45,20
Solano,4/3/2020,-35,-4,-10,-39,-44,21
Solano,4/4/2020,-48,-14,-56,-50,-35,17
Solano,4/5/2020,-52,-23,-52,-48,-36,14
Solano,4/6/2020,-38,-12,-38,-47,-46,20
Solano,4/7/2020,-36,-5,-13,-38,-46,20
Solano,4/8/2020,-37,-9,-25,-42,-47,21
Solano,4/9/2020,-37,-8,-24,-43,-47,21
Solano,4/10/2020,-38,-8,-12,-40,-47,22
Solano,4/11/2020,-43,-4,-18,-39,-35,15
Solano,4/12/2020,-57,-28,-11,-23,-38,13
Solano,4/13/2020,-35,-19,-5,-36,-45,19
Solano,4/14/2020,-32,-11,-6,-33,-45,20
Solano,4/15/2020,-36,-8,-12,-35,-45,19
Solano,4/16/2020,-46,-11,-14,-36,-45,20
Solano,4/17/2020,-50,-14,-20,-37,-44,21
Solano,4/18/2020,-53,-13,-9,-21,-29,14
Solano,4/19/2020,-54,-17,-2,-19,-30,11
Solano,4/20/2020,-47,-16,-17,-31,-43,18
Solano,4/21/2020,-46,-8,-7,-31,-44,19
Solano,4/22/2020,-46,-10,-13,-32,-45,19
Solano,4/23/2020,-45,-11,-10,-33,-45,19
Solano,4/24/2020,-48,-11,-5,-29,-42,20
Solano,4/25/2020,-51,-9,-2,-18,-29,13
Solano,4/26/2020,-51,-12,7,-10,-29,10
Solano,4/27/2020,-43,-11,-6,-29,-42,18
Solano,4/28/2020,-43,-6,-7,-27,-43,11
Solano,4/29/2020,-44,-9,-14,-33,-44,18
Solano,4/30/2020,-41,-6,-11,-34,-44,18
Solano,5/1/2020,-42,-6,-4,-32,-41,19
Solano,5/2/2020,-47,-5,-2,-25,-26,12
Solano,5/3/2020,-45,-7,17,-3,-26,9
Solano,5/4/2020,-39,-6,0,-27,-40,16
Solano,5/5/2020,-39,2,-4,-31,-41,17
Solano,5/6/2020,-41,-6,-3,-32,-42,17
Solano,5/7/2020,-39,-4,-2,-32,-41,17
Solano,5/8/2020,-41,-5,-2,-30,-39,18
Solano,5/9/2020,-42,13,8,-17,-23,10
Solano,5/10/2020,-44,6,-1,-10,-22,7
Solano,5/11/2020,-42,-14,-24,-38,-40,17
Solano,5/12/2020,-42,-6,-11,-39,-40,17
Solano,5/13/2020,-42,-6,-18,-38,-40,17
Solano,5/14/2020,-41,-9,-13,-36,-40,17
Solano,5/15/2020,-41,-7,7,-28,-37,17
Solano,5/16/2020,-44,-3,14,-21,-21,10
Solano,5/17/2020,-45,-10,0,-18,-22,10
Solano,5/18/2020,-38,-10,-6,-32,-37,16
Solano,5/19/2020,-39,-3,0,-32,-37,15
Solano,5/20/2020,-37,-4,7,-32,-38,15
Solano,5/21/2020,-35,-3,6,-29,-38,15
Solano,5/22/2020,-37,-4,11,-27,-37,16
Solano,5/23/2020,-39,1,19,-14,-20,8
Solano,5/24/2020,-38,-2,32,2,-21,6
Solano,5/25/2020,-39,-3,3,-39,-69,21
Solano,5/26/2020,-35,-2,-10,-31,-35,14
Solano,5/27/2020,-32,-3,-13,-31,-36,15
Solano,5/28/2020,-31,-6,-3,-30,-36,14
Solano,5/29/2020,-35,-8,-6,-30,-32,15
Sonoma,2/15/2020,9,6,31,2,-1,-1
Sonoma,2/16/2020,14,7,58,11,1,-2
Sonoma,2/17/2020,11,5,76,-7,-38,8
Sonoma,2/18/2020,1,3,35,7,2,-1
Sonoma,2/19/2020,2,1,20,-3,2,0
Sonoma,2/20/2020,3,3,25,5,2,-1
Sonoma,2/21/2020,2,6,24,0,2,-1
Sonoma,2/22/2020,6,7,36,4,2,-1
Sonoma,2/23/2020,6,7,34,6,4,-1
Sonoma,2/24/2020,1,2,19,2,3,0
Sonoma,2/25/2020,1,4,42,4,4,-1
Sonoma,2/26/2020,3,2,28,4,3,-1
Sonoma,2/27/2020,3,7,29,5,2,-1
Sonoma,2/28/2020,3,7,15,3,3,-1
Sonoma,2/29/2020,7,8,17,6,4,-1
Sonoma,3/1/2020,6,7,15,0,3,0
Sonoma,3/2/2020,4,6,20,3,3,-1
Sonoma,3/3/2020,4,9,38,4,4,-1
Sonoma,3/4/2020,3,7,26,-1,2,-1
Sonoma,3/5/2020,3,6,14,-1,2,0
Sonoma,3/6/2020,1,7,1,-2,1,0
Sonoma,3/7/2020,3,6,-1,-9,1,1
Sonoma,3/8/2020,2,5,21,-1,1,1
Sonoma,3/9/2020,1,5,27,-2,3,0
Sonoma,3/10/2020,0,8,45,-4,3,0
Sonoma,3/11/2020,2,7,27,-2,1,0
Sonoma,3/12/2020,3,16,28,-5,-1,0
Sonoma,3/13/2020,-1,20,2,-12,-2,2
Sonoma,3/14/2020,-8,16,-14,-18,-5,4
Sonoma,3/15/2020,-16,10,-16,-21,-6,5
Sonoma,3/16/2020,-9,25,3,-25,-20,7
Sonoma,3/17/2020,-20,22,4,-31,-29,11
Sonoma,3/18/2020,-42,-11,-23,-49,-42,19
Sonoma,3/19/2020,-39,-9,18,-41,-43,18
Sonoma,3/20/2020,-43,-9,9,-40,-43,20
Sonoma,3/21/2020,-48,-12,19,-42,-35,13
Sonoma,3/22/2020,-50,-18,5,-41,-37,12
Sonoma,3/23/2020,-43,-19,-13,-50,-44,19
Sonoma,3/24/2020,-45,-16,-42,-54,-48,22
Sonoma,3/25/2020,-43,-19,-39,-51,-47,21
Sonoma,3/26/2020,-42,-16,-32,-49,-47,21
Sonoma,3/27/2020,-45,-16,-39,-50,-46,22
Sonoma,3/28/2020,-52,-18,-62,-55,-39,17
Sonoma,3/29/2020,-53,-22,-58,-54,-41,15
Sonoma,3/30/2020,-43,-20,-44,-53,-46,20
Sonoma,3/31/2020,-41,-17,-32,-51,-47,20
Sonoma,4/1/2020,-41,-14,-37,-50,-47,21
Sonoma,4/2/2020,-42,-14,-35,-52,-49,21
Sonoma,4/3/2020,-44,-13,-40,-48,-47,22
Sonoma,4/4/2020,-55,-21,-72,-60,-42,19
Sonoma,4/5/2020,-54,-24,-61,-55,-43,15
Sonoma,4/6/2020,-45,-21,-53,-56,-48,21
Sonoma,4/7/2020,-44,-18,-36,-48,-49,21
Sonoma,4/8/2020,-45,-20,-43,-52,-49,22
Sonoma,4/9/2020,-46,-18,-42,-52,-50,22
Sonoma,4/10/2020,-46,-12,-44,-50,-50,23
Sonoma,4/11/2020,-50,-14,-59,-49,-41,16
Sonoma,4/12/2020,-63,-29,-53,-53,-44,14
Sonoma,4/13/2020,-44,-23,-38,-49,-46,20
Sonoma,4/14/2020,-44,-19,-31,-47,-45,20
